con_legis_num,legislation_number,congress_session,title,cosponsors,bill,gov_track,dc_ratio_aggregate,ratio_binary,manual_coding,URL
101_s.1218,s.con.res.75,101,A concurrent resolution to congratulate His Holiness the XIV Dalai Lama of Tibet for being awarded the 1989 Nobel Peace Prize.,8,0,0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-concurrent-resolution/75?s=9&r=1
101_s.1219,s.con.res.85,101,A concurrent resolution concerning the establishment of a multilateral initiative to promote confidence among the people of Hong Kong.,2,0,0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-concurrent-resolution/85?s=2&r=1
101_s.1220,S.Con.Res 86,101,A concurrent resolution concerning ballistic missile proliferation by the People s Republic of China.,4,0,1,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-concurrent-resolution/86?s=10&r=74
101_s.1221,s.j.res.275,101,"S.J.Res.275 - A joint resolution designating May 13, 1990, as the ""National Day in Support of Freedom and Human Rights in China and Tibet.",50,0,0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-joint-resolution/275?s=5&r=1
101_s.1222,s.j.res.325,101,A joint resolution to disapprove of renewal of most-favored-nation status for the People's Republic of China (PRC).,1,0,0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-joint-resolution/325?s=7&r=1
101_s.1223,s.j.res.382,101,A joint resolution disapproving the recommendation of the President to extend nondiscriminatory treatment (most-favored-nation treatment) to the products of the People's Republic of China.,0,0,0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-joint-resolution/382?s=8&r=1
101_s.1224,S.Res. 142,101,"A resolution condemning the brutal use of force by the Government of the People s Republic of China against unarmed Chinese students and workers demonstrating for democracy, and for other purposes.",29,0,1,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-resolution/142?s=10&r=217
101_s.1225,s.res.210,101,A resolution expressing the support of the Senate regarding democratic reforms and human rights on Taiwan.,1,0,0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-resolution/210?s=9&r=1
101_s.1226,s.res.211,101,A resolution to commend the Government of Hong Kong on its commitment to halting software piracy.,4,0,0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-resolution/211?s=2&r=1
101_s.1227,S. Res. 296,101,A resolution to express the sense of the Senate the support of Taiwan's membership in the General Agreement on Tariffs and Trade.,,0,0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-resolution/296?q=%7B%22search%22%3A%22S.+Res.+296%22%7D&s=8&r=1
101_s.1228,S.Res. 321,101,A resolution expressing the sense of the Senate concerning American policy toward Cambodia.,6,0,1,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-resolution/321?q=%7B%22search%22%3A%22S.Res.+321%22%7D&s=3&r=1
101_s.1229,S.Res. 82,101,A resolution expressing the concern of the Senate for the ongoing human rights abuses in Tibet.,8,0,1,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-resolution/82?s=10&r=277
102_s.1020,S. 1020,102,A bill to make available nondiscriminatory (most-favored-nation) trade treatment to the People s Republic of China only if certain conditions are met.,0,1,1,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/1020?q=%7B%22search%22%3A%22A+bill+to+make+available+nondiscriminatory+%28most-favored-nation%29+trade+treatment+to+the+People%E2%80%99s+Republic+of+China+only+if+certain+conditions+are+met.%22%7D&r=1&s=4
102_s.1028,S. 1028,102,International Voluntary Family Planning Assistance Act of 1991,16,1,1,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/1028?q=%7B%22search%22%3A%22International+Voluntary+Family+Planning+Assistance+Act+of+1991%22%7D&s=3&r=1
102_s.1084,S. 1084,102,"Support for Democracy, Human Rights, and Fair Trade in China Act of 1991",29,1,1,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/1084?q=%7B%22search%22%3A%22Support+for+Democracy%2C+Human+Rights%2C+and+Fair+Trade+in+China+Act+of+1991%22%7D&s=5&r=1
102_s.1093,S. 1093,102,Broadcasting to China Act,10,1,1,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/1093?q=%7B%22search%22%3A%22Broadcasting+to+China+Act%22%7D&s=9&r=1
102_s.1167,S. 1167,102,A bill to deny the People s Republic of China most-favored-nation trade treatment.,0,1,1,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/1167?q=%7B%22search%22%3A%22A+bill+to+deny+the+People%E2%80%99s+Republic+of+China+most-favored-nation+trade+treatment.%22%7D&r=4&s=10
